TotalEvent,date,productSKU,eventAction
779,20210202,211902540,productDetail
93,20210202,211902540,addToCart
782,20210203,211902540,productDetail
88,20210203,211902540,addToCart
119,20210204,211902540,addToCart
762,20210204,211902540,productDetail
114,20210205,211902540,addToCart
706,20210205,211902540,productDetail
120,20210206,211902540,addToCart
797,20210206,211902540,productDetail
914,20210207,211902540,productDetail
142,20210207,211902540,addToCart
122,20210208,211902540,addToCart
848,20210208,211902540,productDetail
116,20210209,211902540,addToCart
877,20210209,211902540,productDetail
753,20210210,211902540,productDetail
109,20210210,211902540,addToCart
706,20210211,211902540,productDetail
198,20210211,211902540,addToCart
709,20210212,211902540,productDetail
114,20210212,211902540,addToCart
713,20210213,211902540,productDetail
98,20210213,211902540,addToCart
866,20210214,211902540,productDetail
107,20210214,211902540,addToCart
122,20210215,211902540,addToCart
789,20210215,211902540,productDetail
811,20210216,211902540,productDetail
90,20210216,211902540,addToCart
719,20210217,211902540,productDetail
68,20210217,211902540,addToCart
650,20210218,211902540,productDetail
72,20210218,211902540,addToCart
87,20210219,211902540,addToCart
651,20210219,211902540,productDetail
627,20210220,211902540,productDetail
62,20210220,211902540,addToCart
614,20210221,211902540,productDetail
66,20210221,211902540,addToCart
65,20210222,211902540,addToCart
596,20210222,211902540,productDetail
503,20210223,211902540,productDetail
55,20210223,211902540,addToCart
59,20210224,211902540,addToCart
540,20210224,211902540,productDetail
56,20210225,211902540,addToCart
594,20210225,211902540,productDetail
75,20210226,211902540,addToCart
608,20210226,211902540,productDetail
54,20210227,211902540,addToCart
506,20210227,211902540,productDetail
597,20210228,211902540,productDetail
73,20210228,211902540,addToCart
1017,20210301,211902540,productDetail
96,20210301,211902540,addToCart
959,20210302,211902540,productDetail
97,20210302,211902540,addToCart
940,20210303,211902540,productDetail
87,20210303,211902540,addToCart
823,20210304,211902540,productDetail
70,20210304,211902540,addToCart
93,20210305,211902540,addToCart
915,20210305,211902540,productDetail
865,20210306,211902540,productDetail
101,20210306,211902540,addToCart
960,20210307,211902540,productDetail
81,20210307,211902540,addToCart
863,20210308,211902540,productDetail
85,20210308,211902540,addToCart
870,20210309,211902540,productDetail
84,20210309,211902540,addToCart
73,20210310,211902540,addToCart
833,20210310,211902540,productDetail
84,20210311,211902540,addToCart
845,20210311,211902540,productDetail
862,20210312,211902540,productDetail
70,20210312,211902540,addToCart
122,20210313,211902540,addToCart
981,20210313,211902540,productDetail
1092,20210314,211902540,productDetail
138,20210314,211902540,addToCart
253,20210315,211902540,addToCart
1035,20210315,211902540,productDetail
115,20210316,211902540,addToCart
962,20210316,211902540,productDetail
891,20210317,211902540,productDetail
119,20210317,211902540,addToCart
772,20210318,211902540,productDetail
105,20210318,211902540,addToCart
95,20210319,211902540,addToCart
764,20210319,211902540,productDetail
899,20210320,211902540,productDetail
108,20210320,211902540,addToCart
128,20210321,211902540,addToCart
893,20210321,211902540,productDetail
101,20210322,211902540,addToCart
810,20210322,211902540,productDetail
729,20210323,211902540,productDetail
96,20210323,211902540,addToCart
98,20210324,211902540,addToCart
759,20210324,211902540,productDetail
101,20210325,211902540,addToCart
793,20210325,211902540,productDetail
1090,20210326,211902540,productDetail
150,20210326,211902540,addToCart
950,20210327,211902540,productDetail
151,20210327,211902540,addToCart
140,20210328,211902540,addToCart
887,20210328,211902540,productDetail
795,20210329,211902540,productDetail
115,20210329,211902540,addToCart
869,20210330,211902540,productDetail
152,20210330,211902540,addToCart
928,20210331,211902540,productDetail
162,20210331,211902540,addToCart
133,20210401,211902540,addToCart
849,20210401,211902540,productDetail
184,20210402,211902540,addToCart
1158,20210402,211902540,productDetail
153,20210403,211902540,addToCart
1127,20210403,211902540,productDetail
207,20210404,211902540,addToCart
1229,20210404,211902540,productDetail
136,20210405,211902540,addToCart
963,20210405,211902540,productDetail
169,20210406,211902540,addToCart
908,20210406,211902540,productDetail
819,20210407,211902540,productDetail
112,20210407,211902540,addToCart
119,20210408,211902540,addToCart
722,20210408,211902540,productDetail
727,20210409,211902540,productDetail
150,20210409,211902540,addToCart
792,20210410,211902540,productDetail
141,20210410,211902540,addToCart
134,20210411,211902540,addToCart
813,20210411,211902540,productDetail
836,20210412,211902540,productDetail
161,20210412,211902540,addToCart
791,20210413,211902540,productDetail
113,20210413,211902540,addToCart
779,20210414,211902540,productDetail
131,20210414,211902540,addToCart
128,20210415,211902540,addToCart
834,20210415,211902540,productDetail
145,20210416,211902540,addToCart
875,20210416,211902540,productDetail
121,20210417,211902540,addToCart
926,20210417,211902540,productDetail
1069,20210418,211902540,productDetail
117,20210418,211902540,addToCart
1022,20210419,211902540,productDetail
137,20210419,211902540,addToCart
1040,20210420,211902540,productDetail
128,20210420,211902540,addToCart
177,20210421,211902540,addToCart
1192,20210421,211902540,productDetail
137,20210422,211902540,addToCart
941,20210422,211902540,productDetail
1081,20210423,211902540,productDetail
199,20210423,211902540,addToCart
1086,20210424,211902540,productDetail
165,20210424,211902540,addToCart
1242,20210425,211902540,productDetail
210,20210425,211902540,addToCart
238,20210426,211902540,addToCart
1426,20210426,211902540,productDetail
275,20210427,211902540,addToCart
1667,20210427,211902540,productDetail
270,20210428,211902540,addToCart
1644,20210428,211902540,productDetail
1212,20210429,211902540,productDetail
194,20210429,211902540,addToCart
215,20210430,211902540,addToCart
1206,20210430,211902540,productDetail
970,20210501,211902540,productDetail
168,20210501,211902540,addToCart
166,20210502,211902540,addToCart
1164,20210502,211902540,productDetail
184,20210503,211902540,addToCart
1031,20210503,211902540,productDetail
170,20210504,211902540,addToCart
887,20210504,211902540,productDetail
812,20210505,211902540,productDetail
135,20210505,211902540,addToCart
157,20210506,211902540,addToCart
857,20210506,211902540,productDetail
800,20210507,211902540,productDetail
124,20210507,211902540,addToCart
103,20210508,211902540,addToCart
647,20210508,211902540,productDetail
112,20210509,211902540,addToCart
728,20210509,211902540,productDetail
854,20210510,211902540,productDetail
122,20210510,211902540,addToCart
692,20210511,211902540,productDetail
95,20210511,211902540,addToCart
100,20210512,211902540,addToCart
624,20210512,211902540,productDetail
97,20210513,211902540,addToCart
589,20210513,211902540,productDetail
98,20210514,211902540,addToCart
641,20210514,211902540,productDetail
75,20210515,211902540,addToCart
526,20210515,211902540,productDetail
713,20210516,211902540,productDetail
111,20210516,211902540,addToCart
580,20210517,211902540,productDetail
103,20210517,211902540,addToCart
112,20210518,211902540,addToCart
564,20210518,211902540,productDetail
603,20210519,211902540,productDetail
99,20210519,211902540,addToCart
425,20210520,211902540,productDetail
66,20210520,211902540,addToCart
92,20210521,211902540,addToCart
691,20210521,211902540,productDetail
